style_id,role,light_hex,dark_hex,semantic_name,hig_system_color,keywords
health-clean,primary,#34C759,#30D158,healthGreen,.green,"health wellness vitality"
health-clean,secondary,#5AC8FA,#64D2FF,healthBlue,.cyan,"activity tracking"
health-clean,background,#F2F2F7,#1C1C1E,backgroundPrimary,.systemGroupedBackground,"background"
health-clean,surface,#FFFFFF,#2C2C2E,surfacePrimary,.secondarySystemGroupedBackground,"card surface"
health-clean,text_primary,#000000,#FFFFFF,textPrimary,.label,"text heading"
health-clean,accent,#FF9500,#FF9F0A,healthAccent,.orange,"accent highlight"
health-medical,primary,#007AFF,#0A84FF,medicalBlue,.blue,"medical professional"
health-medical,secondary,#5856D6,#5E5CE6,medicalPurple,.purple,"secondary"
health-medical,background,#FFFFFF,#000000,backgroundPrimary,.systemBackground,"background"
health-medical,surface,#F2F2F7,#1C1C1E,surfacePrimary,.secondarySystemBackground,"card surface"
finance-bold,primary,#007AFF,#0A84FF,financePrimary,.blue,"finance main"
finance-bold,secondary,#34C759,#30D158,financePositive,.green,"gain positive profit"
finance-bold,destructive,#FF3B30,#FF453A,financeNegative,.red,"loss negative decline"
finance-bold,background,#000000,#000000,backgroundDark,.black,"dark background dashboard"
finance-bold,surface,#1C1C1E,#1C1C1E,surfaceDark,.systemGray6,"dark surface card"
finance-bold,accent,#FFD60A,#FFD60A,financeGold,.yellow,"highlight gold premium"
finance-minimal,primary,#000000,#FFFFFF,textPrimary,.label,"primary text"
finance-minimal,secondary,#8E8E93,#98989D,textSecondary,.secondaryLabel,"secondary text"
finance-minimal,background,#FFFFFF,#000000,backgroundPrimary,.systemBackground,"background"
finance-minimal,accent,#007AFF,#0A84FF,accentBlue,.blue,"accent action"
productivity-structured,primary,#007AFF,#0A84FF,actionPrimary,.blue,"action primary button"
productivity-structured,secondary,#FF9500,#FF9F0A,urgentOrange,.orange,"urgent warning deadline"
productivity-structured,background,#F2F2F7,#1C1C1E,backgroundGrouped,.systemGroupedBackground,"grouped background"
productivity-structured,surface,#FFFFFF,#2C2C2E,surfaceCard,.secondarySystemGroupedBackground,"card surface"
productivity-structured,success,#34C759,#30D158,taskComplete,.green,"complete done success"
productivity-minimal,primary,#000000,#FFFFFF,textPrimary,.label,"primary text"
productivity-minimal,background,#FFFFFF,#000000,backgroundClean,.systemBackground,"background"
productivity-minimal,accent,#007AFF,#0A84FF,accentMinimal,.tint,"accent tint"
social-vibrant,primary,#FF2D55,#FF375F,socialPink,.pink,"social like heart"
social-vibrant,secondary,#AF52DE,#BF5AF2,socialPurple,.purple,"story highlight"
social-vibrant,tertiary,#5AC8FA,#64D2FF,socialCyan,.cyan,"message bubble"
social-vibrant,background,#FFFFFF,#000000,backgroundPrimary,.systemBackground,"background"
social-vibrant,accent,#FF9500,#FF9F0A,socialOrange,.orange,"notification badge"
lifestyle-warm,primary,#A2845E,#A2845E,warmBrown,.brown,"warm organic natural"
lifestyle-warm,secondary,#34C759,#30D158,lifestyleGreen,.green,"fresh natural"
lifestyle-warm,background,#FFF8F0,#1C1C1E,warmBackground,.systemBackground,"warm background"
lifestyle-warm,accent,#FF9500,#FF9F0A,lifestyleAccent,.orange,"accent warm"
education-playful,primary,#5856D6,#5E5CE6,eduPurple,.purple,"learning education"
education-playful,secondary,#FF9500,#FF9F0A,eduOrange,.orange,"achievement reward"
education-playful,success,#34C759,#30D158,eduSuccess,.green,"correct answer progress"
education-playful,background,#F2F2F7,#1C1C1E,backgroundGrouped,.systemGroupedBackground,"background"
entertainment-immersive,primary,#FF2D55,#FF375F,mediaPink,.pink,"play media"
entertainment-immersive,secondary,#BF5AF2,#BF5AF2,mediaPurple,.purple,"premium content"
entertainment-immersive,background,#000000,#000000,backgroundDark,.black,"dark immersive"
entertainment-immersive,surface,#1C1C1E,#1C1C1E,surfaceDark,.systemGray6,"dark card"
utility-native,primary,#007AFF,#0A84FF,systemBlue,.blue,"system primary"
utility-native,secondary,#8E8E93,#98989D,systemGray,.secondaryLabel,"secondary label"
utility-native,background,#F2F2F7,#1C1C1E,systemBackground,.systemGroupedBackground,"background"
utility-native,surface,#FFFFFF,#2C2C2E,systemSurface,.secondarySystemGroupedBackground,"card surface"
