component_name,swiftui_view,props,layout_pattern,category,keywords
MetricCard,"VStack with HStack header",".title .value .trend .icon","card in LazyVGrid",health,"metric stat card number health"
ProgressRing,"ZStack with Circle + trim","progress color lineWidth","overlay or standalone",health,"progress ring circle chart health fitness"
ActivityChart,"Chart with BarMark/LineMark","data xLabel yLabel","full width or card",health,"chart graph activity steps health"
PortfolioSummary,"VStack with balance + change","balance changePercent period","top section hero",finance,"portfolio summary balance total finance"
StockRow,"HStack with name price chart","symbol name price sparkline","List row",finance,"stock row ticker price finance"
TransactionList,"List with ForEach","transactions groupBy filter","full screen or section",finance,"transaction list history payment finance"
TaskRow,"HStack with toggle + text","isCompleted title dueDate priority","List row",productivity,"task todo item row checkbox productivity"
KanbanBoard,"ScrollView horizontal + columns","columns cards dragDrop","full screen",productivity,"kanban board column drag productivity"
CalendarGrid,"LazyVGrid 7 columns","month selectedDate events","section or full screen",productivity,"calendar grid month schedule productivity"
ChatBubble,"HStack with alignment","message isFromMe timestamp avatar","ScrollView reversed",social,"chat message bubble social messaging"
StoryCarousel,"ScrollView horizontal circles","stories avatars isViewed","top section horizontal",social,"story circle carousel avatar social"
FeedCard,"VStack image + content","image title subtitle likes comments","LazyVStack feed",social,"feed post card image social content"
RecipeCard,"VStack image + overlay","image title duration difficulty","LazyVGrid 2 columns",lifestyle,"recipe card cooking food lifestyle"
JournalEntry,"VStack date + content","date mood content photos","List section by date",lifestyle,"journal diary entry mood lifestyle"
LessonCard,"HStack icon + progress","title progress lessonCount icon","List or LazyVGrid",education,"lesson course card progress education"
QuizOption,"Button with label","label isSelected isCorrect","VStack options",education,"quiz answer option button education"
MediaPlayer,"VStack artwork + controls","artwork title artist controls progress","bottom sheet or full",entertainment,"player media music controls entertainment"
ContentCarousel,"ScrollView horizontal cards","items cardSize showTitle","section horizontal scroll",entertainment,"carousel horizontal scroll content entertainment"
SettingsRow,"HStack label + control","label icon controlType value","List grouped",utility,"settings row option toggle utility"
StatusWidget,"VStack metric + label","value label icon trend","widget or card grid",utility,"widget status metric dashboard utility"
