layout_name,screen_type,navigation_pattern,swiftui_container,sections,category,keywords
DashboardScroll,dashboard,NavigationStack,"ScrollView > LazyVStack","hero_metric cards_grid activity_feed",health,"dashboard scroll home health overview"
DetailProfile,detail,NavigationStack,"ScrollView > VStack","header_hero detail_sections action_buttons",health,"detail profile view health"
TabDashboard,dashboard,TabView + NavigationStack,"TabView > NavigationStack > ScrollView","tab_overview tab_detail tab_settings",finance,"tab dashboard multi-view finance"
MasterDetail,master-detail,NavigationSplitView,"NavigationSplitView","sidebar list detail",finance,"master detail split finance iPad"
ListFilter,list,NavigationStack,"NavigationStack > List","search_bar filter_chips grouped_sections",productivity,"list filter search grouped productivity"
InboxSplit,inbox,NavigationStack,"NavigationStack > List + detail","inbox_list detail_view toolbar",productivity,"inbox email task split productivity"
FeedInfinite,feed,TabView + NavigationStack,"TabView > LazyVStack","stories feed_cards bottom_bar",social,"feed infinite scroll social timeline"
ProfileHeader,profile,NavigationStack,"ScrollView > VStack","avatar_header stats_row content_grid",social,"profile header avatar stats social"
GridGallery,gallery,NavigationStack,"ScrollView > LazyVGrid","header filter_bar photo_grid",lifestyle,"gallery grid photo image lifestyle"
OnboardingPages,onboarding,none,"TabView(.page)","welcome_page features_page cta_page",lifestyle,"onboarding pages welcome intro lifestyle"
ProgressDashboard,dashboard,NavigationStack,"ScrollView > VStack","progress_overview lesson_list achievements",education,"dashboard progress course education"
QuizFlow,flow,NavigationStack,"VStack","question_card options_list progress_bar navigation",education,"quiz flow question answer education"
ImmersivePlayer,player,custom,"ZStack full screen","background_media controls_overlay info_panel",entertainment,"player immersive fullscreen entertainment"
BrowseGrid,browse,TabView + NavigationStack,"ScrollView > LazyVGrid","featured_carousel category_sections content_grid",entertainment,"browse discover grid entertainment"
SettingsGrouped,settings,NavigationStack,"List(.grouped)","account_section preferences_section about_section",utility,"settings grouped preferences utility"
WidgetDashboard,dashboard,NavigationStack,"ScrollView > LazyVGrid adaptive","widget_cards status_rows quick_actions",utility,"widget dashboard control utility"
